Bulan,Hari,Tanggal,Test,Parameter,Telkomsel,IOH,XL Axiata,longitude,latitude,Kabupaten/Kota,Alamat,Keterangan
Maret,Rabu,03/26/25,Route Test,Durations,12.12,19.19,0,,,Konawe Selatan,RT Konda - Cialam,Posko Before Idul Fitri
Maret,Rabu,03/26/25,Route Test,Distance (km),12.509,9.501,0,,,Konawe Selatan,RT Konda - Cialam,Posko Before Idul Fitri
Maret,Rabu,03/26/25,Route Test,DL speed (Mbps),12.52,6.61,0,,,Konawe Selatan,RT Konda - Cialam,Posko Before Idul Fitri
Maret,Rabu,03/26/25,Route Test,Durations,15.52,52.25,19.11,,,Konawe Selatan,RT Punggaluku - Torobulu,Posko Before Idul Fitri
Maret,Rabu,03/26/25,Route Test,Distance (km),28.541,15.883,9.404,,,Konawe Selatan,RT Punggaluku - Torobulu,Posko Before Idul Fitri
Maret,Rabu,03/26/25,Route Test,DL speed (Mbps),6.91,5.38,1.11,,,Konawe Selatan,RT Punggaluku - Torobulu,Posko Before Idul Fitri
Maret,Kamis,03/27/25,Route Test,Durations,6.22,42.17,24.07,,,Konawe Selatan,RT Moramo - Pelabuhan,Posko Before Idul Fitri
Maret,Kamis,03/27/25,Route Test,Distance (km),36.671,111.486,13.948,,,Konawe Selatan,RT Moramo - Pelabuhan,Posko Before Idul Fitri
Maret,Kamis,03/27/25,Route Test,DL speed (Mbps),30.07,40.99,0,,,Konawe Selatan,RT Moramo - Pelabuhan,Posko Before Idul Fitri
Maret,Jumat,03/28/25,Route Test,Durations,10.52,8.39,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,03/28/25,Route Test,Distance (km),3.642,11.421,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,03/28/25,Route Test,DL speed (Mbps),0,21.68,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Durations,2.22,23.57,33.01,,,Kendari,RT Bypass - Pelabuhan,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Distance (km),13.076,9.431,10.555,,,Kendari,RT Bypass - Pelabuhan,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,DL speed (Mbps),22.25,20.61,4.43,,,Kendari,RT Bypass - Pelabuhan,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Durations,2.02,9.22,18.19,,,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Distance (km),5.901,4.571,5.605,,,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,DL speed (Mbps),3.29,15.08,14.91,,,Kendari,RT Pelabuhan - Psr Andonohu,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Durations,1.03,12.13,13.33,,,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,Distance (km),10.232,4.385,4.82,,,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
Maret,Sabtu,03/29/25,Route Test,DL speed (Mbps),34.29,15.72,7.87,,,Kendari,RT Psr - Andonohu - Lepo lepo,Posko Before Idul Fitri
April,Selasa,04/01/25,Route Test,Durations,22.51,22.50,22.50,,,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,04/01/25,Route Test,Distance (km),11.430,14.872,11.434,,,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,04/01/25,Route Test,DL speed (Mbps),9.12,2.49,14.37,,,Kendari,RT Kendari Permai– Pantai Nambo,Posko After Idul Fitri
April,Selasa,04/01/25,Route Test,Durations,12.00,11.21,11.24,,,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Selasa,04/01/25,Route Test,Distance (km),4.057,7.697,5.480,,,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Selasa,04/01/25,Route Test,DL speed (Mbps),20.36,3.74,4.97,,,Kendari,RT Kendari Beach - Lippo Plaza,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,Durations,26.18,27.29,27.35,,,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,Distance (km),15.955,10.674,10.659,,,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,DL speed (Mbps),1.26,8.59,1.3,,,Kendari,RT BTN Kehutanan - Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,Durations,20.03,20.11,20.08,,,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,Distance (km),11.200,8.372,8.368,,,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Rabu,04/02/25,Route Test,DL speed (Mbps),2.15,13.76,6.64,,,Kendari,RT Jembatan Bahteramas - Taman Kali Kadia,Posko After Idul Fitri
April,Jum'at,04/04/25,Route Test,Durations,19.56,18.41,20.54,,,Konawe Selatan,RT Pelabuhan Torobulu - Tinanggea,Posko After Idul Fitri
