Test,Parameter,Telkomsel,IOH,XL Axiata,longitude,latitude,kab/kota,Alamat,,
Route Test,Durations,12:12,19:19,0,,,Konawe Selatan,RT Konda - Cialam,,
Route Test,Distance (km),12.509,9.501,0,,,Konawe Selatan,RT Konda - Cialam,,
Route Test,DL speed (Mbps),12.52,6.61,0,,,Konawe Selatan,RT Konda - Cialam,,
Route Test,Durations,15:52,52:25:00,19.11,,,Konawe Selatan,RT Punggaluku - Torobulu,,
Route Test,Distance (km),28.541,15.883,9.404,,,Konawe Selatan,RT Punggaluku - Torobulu,,
Route Test,DL speed (Mbps),6.91,5.38,1.11,,,Konawe Selatan,RT Punggaluku - Torobulu,,
Route Test,Durations,6:22,42:17:00,24:07:00,,,Konawe Selatan,RT Moramo - Pelabuhan,,
Route Test,Distance (km),36.671,111.486,13.948,,,Konawe Selatan,RT Moramo - Pelabuhan,,
Route Test,DL speed (Mbps),30.07,40.99,0,,,Konawe Selatan,RT Moramo - Pelabuhan,,
Route Test,Durations,10:52,8:39,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,,
Route Test,Distance (km),3.642,11.421,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,,
Route Test,DL speed (Mbps),0,21.68,0,,,Konawe Selatan,RT Bandara - SMPN 1 Ranomeeto,,
Route Test,Durations,2:22,23:57,33.01,,,Kendari,RT Bypass - Pelabuhan,,
Route Test,Distance (km),13.076,9.431,10.555,,,Kendari,RT Bypass - Pelabuhan,,
Route Test,DL speed (Mbps),22.25,20.61,4.43,,,Kendari,RT Bypass - Pelabuhan,,
Route Test,Durations,2:02,9:22,18.19,,,Kendari,RT Pelabuhan - Psr Andonohu,,
Route Test,Distance (km),5.901,4.571,5.605,,,Kendari,RT Pelabuhan - Psr Andonohu,,
Route Test,DL speed (Mbps),3.29,15.08,14.91,,,Kendari,RT Pelabuhan - Psr Andonohu,,
Route Test,Durations,1:03,12:13,13.33,,,Kendari,RT Psr - Andonohu - Lepo lepo,,
Route Test,Distance (km),10.232,4.385,4.82,,,Kendari,RT Psr - Andonohu - Lepo lepo,,
Route Test,DL speed (Mbps),34.29,15.72,7.87,,,Kendari,RT Psr - Andonohu - Lepo lepo,,
Speed Test,DL (Mbps),16.67,22.56,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Speed Test,UL (Mbps),11.85,7.55,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Speed Test,Ping (ms),2.2,159,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Web Test,Loading time (ms),4.2,281,30.2,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Web Test,Throughput (Mbps),0.61,0.41,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Video Test,Initial Buffering (ms),504,0,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Video Test,Throughput (Mbps),2.51,2.07,0,122.4732,-4.303,Konawe Selatan,Pos Punggaluku,,
Speed Test,DL (Mbps),12.37,0.44,5.13,122.4538,-4.4454,Konawe Selatan,Pelabuhan Torobulu,,
Speed Test,UL (Mbps),0,3.46,3.91,122.4538,-4.4454,Konawe Selatan,Pelabuhan Torobulu,,
Speed Test,Ping (ms),1.17,338,244,122.4538,-4.4454,Konawe Selatan,Pelabuhan Torobulu,,
Web Test,Loading time (ms),3.39,615,523,122.4538,-4.4454,Konawe Selatan,Pelabuhan Torobulu,,
Web Test,Throughput (Mbps),0.98,0.08,0.36,122.4538,-4.4454,Konawe Selatan,Pelabuhan Torobulu,,
